# q      i          sigma
0.247028 3.615444 0.119994
0.247534 3.609688 0.111776
0.248041 3.741037 0.109149
0.248548 3.482016 0.115134
0.249054 3.818410 0.118558
0.249561 3.630593 0.206460
0.250068 3.696993 0.118726
0.250574 3.581629 0.186115
0.251081 3.637765 0.112897
0.251587 3.391211 0.106752
0.252094 3.241015 0.107812
0.252601 3.399229 0.104570
0.253107 3.208537 0.109505
0.253614 3.495222 0.107472
0.254120 3.259407 0.103732
0.254627 3.513154 0.106891
0.255134 3.719407 0.130125
0.255640 3.702172 0.102547
0.256147 3.770110 0.105814
0.256654 3.876074 0.161681
0.257160 3.621559 0.106365
0.257667 3.628730 0.218755
0.258173 3.482970 0.120179
0.258680 3.482655 0.206917
0.259187 3.301427 0.113022
0.259693 3.498831 0.182305
0.260200 3.368671 0.229431
0.260706 3.548794 0.264096
0.261213 3.465562 0.141839
0.261720 3.503038 0.160416
0.262226 3.458095 0.111940
0.262733 3.251460 0.134269
0.263239 3.474245 0.253242
0.263746 3.195996 0.101079
0.264253 3.415128 0.155430
0.264759 3.359671 0.125644
0.265266 3.249120 0.134026
0.265772 3.208405 0.188712
0.266279 3.274470 0.334649
